City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luanda,-8.8368,13.2343,19.0,88,20,1.54,AO,1688957641
1,invercargill,-46.4,168.35,10.85,74,40,0.96,NZ,1688958054
2,bandipura,34.4167,74.65,21.93,66,0,1.59,IN,1688958054
3,prince rupert,54.3161,-130.3201,12.05,87,100,2.57,CA,1688958007
4,fort bragg,35.139,-79.006,24.9,90,0,0.0,US,1688958054
5,port-aux-francais,-49.35,70.2167,2.17,65,100,9.7,TF,1688958055
6,papao,-17.75,-149.55,28.82,77,87,8.75,PF,1688958055
7,college,64.8569,-147.8028,25.18,45,0,2.06,US,1688958002
8,puerto natales,-51.7236,-72.4875,-3.89,96,11,1.9,CL,1688958055
9,grytviken,-54.2811,-36.5092,-7.66,88,89,4.33,GS,1688958056
10,queenstown,-31.8976,26.8753,2.89,99,100,2.88,ZA,1688958056
11,conduaga,8.862,117.4893,28.52,71,42,1.72,PH,1688958056
12,waitangi,-43.9535,-176.5597,11.01,90,100,3.58,NZ,1688958057
13,hamilton,39.1834,-84.5333,20.57,80,0,0.0,US,1688957473
14,chagoda,59.164,35.3285,11.08,73,100,4.07,RU,1688958057
15,ushuaia,-54.8,-68.3,2.81,81,75,7.72,AR,1688958057
16,thompson,55.7435,-97.8558,11.09,71,75,5.14,CA,1688958058
17,lompoc,34.6391,-120.4579,17.08,87,100,6.69,US,1688958058
18,lethem,3.3803,-59.7968,24.7,88,98,3.13,GY,1688958058
19,blackmans bay,-43.0167,147.3167,13.74,66,100,3.1,AU,1688958058
20,praia,14.9215,-23.5087,25.3,73,20,6.69,CV,1688958059
21,bredasdorp,-34.5322,20.0403,9.03,73,100,1.06,ZA,1688958059
22,edinburgh of the seven seas,-37.0676,-12.3116,15.44,84,100,10.97,SH,1688958059
23,weno,7.4515,151.8468,29.97,79,100,2.57,FM,1688958059
24,las heras,-46.5419,-68.9359,-2.92,87,29,2.32,AR,1688958059
25,crucecita,-28.95,-58.9833,17.48,79,100,1.91,AR,1688958060
26,hermanus,-34.4187,19.2345,7.67,81,9,2.24,ZA,1688958060
27,hacienda huancane,-15.8222,-70.8856,1.87,32,0,1.71,PE,1688958060
28,carbonear,47.7332,-53.2148,13.01,97,95,3.09,CA,1688958061
29,ribeira grande,38.5167,-28.7,20.99,96,100,1.79,PT,1688958061
30,sainyabuli,19.25,101.75,29.68,61,100,1.47,LA,1688958061
